player,team_name,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Lukáš Zima,Petrolul-Ploiesti,cz CZE,GK,31,20,20,"1,800",20,0,0,0,0,0,0,3,0,0,0,0,0,0
Lucian Dumitriu,Petrolul-Ploiesti,ro ROU,"DF,MF",32,20,19,"1,648",18,0,3,3,0,0,0,4,0,0,0,0,0,0
Mihnea Radulescu,Petrolul-Ploiesti,ro ROU,"MF,FW",19,29,19,"1,603",17,4,2,6,4,0,0,2,0,0,0,0,0,0
Alexandru Tudorie,Petrolul-Ploiesti,ro ROU,FW,29,19,18,"1,473",16,8,1,9,8,0,0,1,0,0,0,0,0,0
Denis Radu,Petrolul-Ploiesti,ro ROU,"MF,DF",22,25,15,"1,426",15,0,0,0,0,0,0,2,0,0,0,0,0,0
Alexandru Mateiu,Petrolul-Ploiesti,ro ROU,MF,35,22,12,"1,137",12,0,0,0,0,0,0,2,0,0,0,0,0,0
Yohan Roche,Petrolul-Ploiesti,bj BEN,DF,27,14,12,970,10,0,0,0,0,0,0,4,0,0,0,0,0,0
Raul Bălbărău,Petrolul-Ploiesti,ro ROU,GK,23,9,9,810,9,0,0,0,0,0,0,1,0,0,0,0,0,0
Christian Irobiso,Petrolul-Ploiesti,ng NGA,FW,31,15,8,862,9,0,1,1,0,0,0,0,0,0,0,0,0,0
Valentin Gheorghe,Petrolul-Ploiesti,ro ROU,"MF,FW",28,9,5,461,5,0,0,0,0,0,0,1,0,0,0,0,0,0
Ioan Tolea,Petrolul-Ploiesti,ro ROU,DF,21,12,4,418,4,1,0,1,1,0,0,3,0,0,0,0,0,0
Herman Moussaki,Petrolul-Ploiesti,fr FRA,MF,26,10,3,346,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Valentin Ticu,Petrolul-Ploiesti,ro ROU,DF,24,3,3,264,2,1,0,1,1,0,0,0,0,0,0,0,0,0
Albin Berisha,Petrolul-Ploiesti,xk KVX,FW,24,3,3,222,2,1,0,1,1,0,0,0,0,0,0,0,0,0
Mario Bratu,Petrolul-Ploiesti,ro ROU,MF,22,12,2,372,4,1,1,2,1,0,0,0,0,0,0,0,0,0
Oscar Linnér,Petrolul-Ploiesti,se SWE,GK,28,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabrício Baiano,Petrolul-Ploiesti,br BRA,MF,32,6,2,176,2,0,1,1,0,0,0,0,0,0,0,0,0,0
Nana Akosah-Bempah,Petrolul-Ploiesti,gh GHA,FW,27,9,1,352,3,0,2,2,0,0,0,1,0,0,0,0,0,0
Alexandru Stănică,Petrolul-Ploiesti,ro ROU,DF,24,6,1,155,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Mihai Eșanu,Petrolul-Ploiesti,ro ROU,GK,26,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Takayuki Seto,Petrolul-Ploiesti,jp JPN,MF,39,1,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandru Ișfan,Petrolul-Ploiesti,ro ROU,MF,25,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali Sühan Demirel,Petrolul-Ploiesti,tr TUR,FW,22,3,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hasan Jahic,Petrolul-Ploiesti,ba BIH,DF,23,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alin-Marius Boțogan,Petrolul-Ploiesti,ro ROU,MF,21,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Ilie,Petrolul-Ploiesti,ro ROU,FW,20,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raul Bucur,Petrolul-Ploiesti,ro ROU,FW,22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor Stancovici,Petrolul-Ploiesti,ro ROU,MF,19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Augustin Dumitrache,Petrolul-Ploiesti,ro ROU,MF,18,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guilherme Garutti,Petrolul-Ploiesti,br BRA,DF,31,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrei Jercalau,Petrolul-Ploiesti,ro ROU,GK,20,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kilian Ludewig,Petrolul-Ploiesti,de GER,"DF,MF",25,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bogran Marian,Petrolul-Ploiesti,ro ROU,DF,20,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Paraschiv,Petrolul-Ploiesti,ro ROU,MF,18,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iustin Răducan,Petrolul-Ploiesti,ro ROU,FW,19,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandru Buzbuchi,Farul-Constanta,ro ROU,GK,31,32,32,"2,880",32,0,0,0,0,0,0,1,0,0,0,0,0,0
Cristian Ganea,Farul-Constanta,ro ROU,"DF,MF",32,32,31,"2,796",31,0,3,3,0,0,0,1,0,0,0,0,0,0
Ionuț Vînă,Farul-Constanta,ro ROU,MF,30,30,29,"2,345",26,2,2,4,2,0,0,8,1,0,0,0,0,0
Narek Grigoryan,Farul-Constanta,am ARM,"FW,MF",23,31,29,"2,265",25,5,0,5,5,0,0,4,0,0,0,0,0,0
Mihai Bălașa,Farul-Constanta,ro ROU,DF,30,25,23,"1,976",22,0,0,0,0,0,0,6,1,0,0,0,0,0
Gustavo Marins,Farul-Constanta,br BRA,DF,23,24,22,"1,940",21,1,0,1,1,0,0,4,0,0,0,0,0,0
Victor Dican,Farul-Constanta,ro ROU,"MF,DF",24,30,20,"1,929",21,4,1,5,4,0,0,7,0,0,0,0,0,0
Denis Alibec,Farul-Constanta,ro ROU,FW,34,23,19,"1,833",20,7,6,13,5,2,2,7,1,0,0,0,0,0
Dan Sirbu,Farul-Constanta,ro ROU,"DF,MF",21,25,18,"1,711",19,0,0,0,0,0,0,3,0,0,0,0,0,0
Eduard Radaslavescu,Farul-Constanta,ro ROU,"MF,FW",20,25,18,"1,348",15,2,2,4,2,0,0,1,0,0,0,0,0,0
Rivaldinho,Farul-Constanta,br BRA,FW,29,24,15,"1,136",12,5,2,7,5,0,0,1,0,0,0,0,0,0
Gabriel Iancu,Farul-Constanta,ro ROU,"FW,MF",30,18,12,919,10,2,1,3,1,1,1,2,0,0,0,0,0,0
Bogdan Țîru,Farul-Constanta,ro ROU,DF,31,16,10,"1,027",11,1,0,1,1,0,0,2,0,0,0,0,0,0
Carlo Casap,Farul-Constanta,ro ROU,MF,26,19,9,929,10,1,0,1,1,0,0,3,0,0,0,0,0,0
Ionuț Cojocaru,Farul-Constanta,ro ROU,FW,21,12,8,769,8,1,1,2,1,0,0,3,0,0,0,0,0,0
Mihai Popescu,Farul-Constanta,ro ROU,DF,31,8,8,658,7,0,0,0,0,0,0,1,0,0,0,0,0,0
Constantin Grameni,Farul-Constanta,ro ROU,MF,22,8,8,646,7,0,1,1,0,0,0,2,0,0,0,0,0,0
Nicolas Popescu,Farul-Constanta,ro ROU,MF,22,15,8,611,6,0,0,0,0,0,0,3,0,0,0,0,0,0
Ionuț Cercel,Farul-Constanta,ro ROU,"DF,MF",18,12,7,633,7,0,1,1,0,0,0,1,0,0,0,0,0,0
Ionuț Larie,Farul-Constanta,ro ROU,DF,38,11,7,561,6,0,0,0,0,0,0,2,0,0,0,0,0,0
Andrei Ciobanu,Farul-Constanta,ro ROU,"FW,MF",27,17,5,666,7,0,1,1,0,0,0,0,0,0,0,0,0,0
Dragoș Nedelcu,Farul-Constanta,ro ROU,MF,28,10,5,401,4,0,0,0,0,0,0,1,0,0,0,0,0,0
Diogo Queirós,Farul-Constanta,pt POR,MF,26,4,3,221,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Gabriel Danuleasa,Farul-Constanta,ro ROU,DF,21,10,2,327,3,0,0,0,0,0,0,0,1,0,0,0,0,0
Luca Banu,Farul-Constanta,ro ROU,MF,20,4,2,203,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Reginaldo,Farul-Constanta,br BRA,"MF,DF",23,3,2,128,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Iustin Doicaru,Farul-Constanta,ro ROU,FW,18,18,0,309,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandru Stoian,Farul-Constanta,ro ROU,FW,17,7,0,151,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Luca-Constantin Basceanu,Farul-Constanta,ro ROU,MF,18,6,0,133,1,1,0,1,1,0,0,0,0,0,0,0,0,0
Gabriel Buta,Farul-Constanta,ro ROU,DF,23,4,0,59,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Fabinho Baptista,Farul-Constanta,pt POR,DF,24,3,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Kiwinda,Farul-Constanta,ua UKR,FW,20,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mario Aioanei,Farul-Constanta,ro ROU,DF,19,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luca Andronache,Farul-Constanta,ro ROU,FW,21,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ianis Avramescu,Farul-Constanta,ro ROU,FW,16,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Budescu,Farul-Constanta,ro ROU,MF,14,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alin Cocoș,Farul-Constanta,ro ROU,FW,18,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Răzvan Ducan,Farul-Constanta,ro ROU,GK,24,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David-John Dumitra,Farul-Constanta,ro ROU,DF,18,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandru-Stefan Dutu,Farul-Constanta,ro ROU,DF,21,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costyn Gheorghe,Farul-Constanta,ro ROU,DF,17,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darius Grosu,Farul-Constanta,ro ROU,DF,22,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Merloi,Farul-Constanta,ro ROU,MF,25,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Munteanu,Farul-Constanta,ro ROU,DF,17,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Mustacă,Farul-Constanta,ro ROU,FW,22,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ianis Podoleanu,Farul-Constanta,ro ROU,MF,17,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibrahima Conté,UTA-Arad,gn GUI,DF,28,28,28,"2,520",28,0,0,0,0,0,0,6,0,0,0,0,0,0
Eric Johanna Omondi,UTA-Arad,ke KEN,"MF,FW",30,28,28,"2,397",26,3,3,6,3,0,0,8,0,0,0,0,0,0
Valentin Costache,UTA-Arad,ro ROU,"FW,MF",26,31,27,"2,191",24,6,3,9,4,2,2,5,0,0,0,0,0,0
Florent Poulolo,UTA-Arad,mq MTQ,DF,28,24,24,"2,160",24,0,0,0,0,0,0,2,0,0,0,0,0,0
Cristian Mihai,UTA-Arad,ro ROU,MF,20,25,22,"1,855",20,1,1,2,1,0,0,4,0,0,0,0,0,0
Răzvan Trif,UTA-Arad,ro ROU,"DF,MF",27,27,21,"1,831",20,0,1,1,0,0,0,3,0,0,0,0,0,0
Benjamin Van Durmen,UTA-Arad,be BEL,MF,28,21,18,"1,587",17,1,1,2,1,0,0,3,0,0,0,0,0,0
Andrej Fábry,UTA-Arad,sk SVK,"MF,FW",28,20,18,"1,446",16,1,3,4,1,0,0,2,0,0,0,0,0,0
Ravy Tsouka,UTA-Arad,cg CGO,"DF,MF",30,19,16,"1,490",16,0,1,1,0,0,0,5,0,0,0,0,0,0
Robert Popa,UTA-Arad,ro ROU,GK,22,16,16,"1,437",16,0,0,0,0,0,0,1,0,0,0,0,0,0
Cornel Râpă,UTA-Arad,ro ROU,DF,35,21,15,"1,297",14,0,1,1,0,0,0,2,1,0,0,0,0,0
Denis Hrezdac,UTA-Arad,ro ROU,MF,23,23,13,"1,243",13,1,0,1,1,0,0,0,0,0,0,0,0,0
Aristide Mabea,UTA-Arad,ci CIV,DF,26,16,12,"1,174",13,1,0,1,1,0,0,7,0,0,0,0,0,0
Dejan Iliev,UTA-Arad,mk MKD,GK,30,12,12,"1,080",12,0,0,0,0,0,0,2,0,0,0,0,0,0
Alexandru Benga,UTA-Arad,ro ROU,DF,35,11,10,908,10,1,0,1,1,0,0,0,0,0,0,0,0,0
Lamine Ghezali,UTA-Arad,fr FRA,MF,25,17,10,811,9,0,1,1,0,0,0,3,0,0,0,0,0,0
Jordan Kadiri,UTA-Arad,ng NGA,FW,25,12,8,705,7,2,0,2,2,0,0,0,1,0,0,0,0,0
George Cîmpanu,UTA-Arad,ro ROU,MF,24,13,7,583,6,2,0,2,2,0,0,1,0,0,0,0,0,0
Marian Danciu,UTA-Arad,ro ROU,MF,22,9,7,469,5,0,1,1,0,0,0,1,0,0,0,0,0,0
João Pedro,UTA-Arad,pt POR,"MF,FW",31,17,6,626,7,2,0,2,0,2,2,1,0,0,0,0,0,0
Imoh Ezekiel,UTA-Arad,ng NGA,FW,31,8,6,477,5,1,0,1,1,0,0,0,0,0,0,0,0,0
Damien Dussaut,UTA-Arad,fr FRA,DF,30,7,5,437,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Shayon Harrison,UTA-Arad,eng ENG,"FW,MF",27,6,5,392,4,1,1,2,1,0,0,0,0,0,0,0,0,0
Diogo Costa Rodrigues,UTA-Arad,pt POR,DF,25,4,3,288,3,0,0,0,0,0,0,1,0,0,0,0,0,0
Andrei Gorcea,UTA-Arad,ro ROU,GK,23,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0
Marinos Tzionis,UTA-Arad,cy CYP,"MF,FW",23,5,3,217,2,1,0,1,1,0,0,0,0,0,0,0,0,0
Paul-Jose M'Poku,UTA-Arad,cd COD,MF,32,4,2,202,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Ioan Dumiter,UTA-Arad,ro ROU,FW,25,5,2,170,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dániel Zsóri,UTA-Arad,hu HUN,FW,24,17,1,367,4,1,1,2,1,0,0,4,0,0,0,0,0,0
Agustín Vuletich,UTA-Arad,ar ARG,FW,33,11,1,324,3,2,0,2,2,0,0,0,0,0,0,0,0,0
Raoul Cristea,UTA-Arad,ro ROU,MF,22,17,1,314,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Aleksander Mitrovic,UTA-Arad,ro ROU,GK,21,2,1,93,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Joher Rassoul,UTA-Arad,sn SEN,MF,29,4,1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nsungusi Jnr Effiong,UTA-Arad,ng NGA,FW,25,2,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loei Halaf,UTA-Arad,il ISR,MF,24,4,0,53,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Andrei David,UTA-Arad,ro ROU,MF,22,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zé Pedro,UTA-Arad,pt POR,FW,28,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Dragos,UTA-Arad,ro ROU,FW,17,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandru Olar,UTA-Arad,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raul Stanciu,UTA-Arad,ro ROU,FW,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ioan Borcea,UTA-Arad,ro ROU,MF,22,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmet Ekmekci,UTA-Arad,,MF,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darius Iurasciuc,UTA-Arad,ro ROU,DF,19,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandru Matei,UTA-Arad,ro ROU,MF,17,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mario Popescu,UTA-Arad,ro ROU,GK,20,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Roșu,UTA-Arad,ro ROU,GK,18,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denis Taroi,UTA-Arad,ro ROU,MF,16,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patric Toderean,UTA-Arad,ro ROU,GK,20,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frédéric Maciel,Otelul-Galati,pt POR,FW,31,31,30,"2,302",25,5,5,10,5,0,0,0,0,0,0,0,0,0
Diego Živulić,Otelul-Galati,hr CRO,"MF,DF",33,29,28,"2,523",28,3,1,4,3,0,0,7,0,0,0,0,0,0
Nikola Stevanović,Otelul-Galati,rs SRB,DF,26,28,28,"2,395",26,0,0,0,0,0,0,6,3,0,0,0,0,0
João Lameira,Otelul-Galati,pt POR,MF,25,29,28,"2,374",26,0,0,0,0,0,0,8,0,0,0,0,0,0
Iustin Popescu,Otelul-Galati,ro ROU,GK,31,25,25,"2,250",25,0,0,0,0,0,0,2,0,0,0,0,0,0
Jonathan Cissé,Otelul-Galati,ci CIV,DF,27,21,20,"1,758",19,0,0,0,0,0,0,4,1,0,0,0,0,0
David-Iulian Maftei,Otelul-Galati,ro ROU,DF,20,22,19,"1,533",17,0,1,1,0,0,0,1,0,0,0,0,0,0
Teles,Otelul-Galati,pt POR,MF,28,29,18,"1,706",19,2,0,2,2,0,0,2,1,0,0,0,0,0
Miguel Silva,Otelul-Galati,pt POR,DF,29,20,17,"1,637",18,1,1,2,1,0,0,4,0,0,0,0,0,0
Juri Cisotti,Otelul-Galati,it ITA,"MF,FW",31,17,17,"1,514",16,3,2,5,3,0,0,2,0,0,0,0,0,0
Razvan Tanasa,Otelul-Galati,ro ROU,"FW,MF",21,28,16,"1,453",16,1,0,1,1,0,0,2,0,0,0,0,0,0
Alexandru Pop,Otelul-Galati,ro ROU,FW,25,21,16,"1,381",15,5,0,5,3,2,2,1,0,0,0,0,0,0
Stipe Juric,Otelul-Galati,ba BIH,FW,26,20,11,"1,155",12,3,0,3,3,0,0,1,0,0,0,0,0,0
Martin Angha,Otelul-Galati,ch SUI,DF,31,12,11,996,11,0,0,0,0,0,0,5,0,0,0,0,0,0
Josip Tomašević,Otelul-Galati,hr CRO,DF,31,9,9,698,7,0,1,1,0,0,0,1,0,0,0,0,0,0
Mihai Adăscăliței,Otelul-Galati,ro ROU,DF,30,18,7,745,8,0,1,1,0,0,0,1,0,0,0,0,0,0
Milen Zhelev,Otelul-Galati,bg BUL,DF,31,10,7,713,7,0,0,0,0,0,0,3,0,0,0,0,0,0
Cosmin Dur-Bozoancă,Otelul-Galati,ro ROU,GK,27,7,7,630,7,0,0,0,0,0,0,1,0,0,0,0,0,0
Vasilije Đurić,Otelul-Galati,rs SRB,FW,26,16,7,618,6,0,0,0,0,0,0,1,0,0,0,0,0,0
Neluț Roșu,Otelul-Galati,ro ROU,MF,31,13,6,445,4,0,0,0,0,0,0,3,0,0,0,0,0,0
Andrei Bani,Otelul-Galati,ro ROU,"MF,FW",22,9,6,429,4,1,0,1,1,0,0,0,0,0,0,0,0,0
Samy Bourard,Otelul-Galati,be BEL,MF,29,12,5,564,6,0,1,1,0,0,0,2,0,0,0,0,0,0
Andrei Rus,Otelul-Galati,ro ROU,DF,22,8,4,372,4,0,0,0,0,0,0,1,0,0,0,0,0,0
Albert Hofman,Otelul-Galati,ro ROU,"FW,MF",22,8,3,313,3,0,1,1,0,0,0,0,0,0,0,0,0,0
Jovan Marković,Otelul-Galati,ro ROU,FW,24,5,2,201,2,1,0,1,1,0,0,2,0,0,0,0,0,0
Julián Tovar,Otelul-Galati,co COL,DF,28,3,2,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandru Stan,Otelul-Galati,ro ROU,FW,36,4,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Bicfalvi,Otelul-Galati,ro ROU,FW,37,2,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristian Chira,Otelul-Galati,ro ROU,MF,23,4,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maxim Cojocaru,Otelul-Galati,md MDA,MF,27,14,0,204,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Andreas Burcea,Otelul-Galati,ro ROU,FW,20,8,0,141,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Luca Andronache,Otelul-Galati,ro ROU,FW,21,6,0,96,1,0,0,0,0,0,0,1,0,0,0,0,0,0
